,,,T,V
,,,1.074,1.88
,,,1.076,1.9
,,,1.078,1.9
,,,1.08,1.9
,,,1.082,1.9
,,,1.084,1.9
,,,1.086,1.9
,,,1.088,1.9
,,,1.09,1.9
,,,1.092,1.92
,,,1.094,1.9
,,,1.096,1.9
,,,1.098,1.9
,,,1.1,1.88
,,,1.102,1.92
,,,1.104,1.9
,,,1.106,1.9
,,,1.108,1.92
,,,1.11,1.92
,,,1.112,1.92
,,,1.114,1.92
,,,1.116,1.92
,,,1.118,1.92
,,,1.12,1.9
,,,1.122,1.9
,,,1.124,1.9
,,,1.126,1.9
,,,1.128,1.94
,,,1.13,1.9
,,,1.132,1.92
,,,1.134,1.9
,,,1.136,1.9
,,,1.138,1.9
,,,1.14,1.9
,,,1.142,1.9
,,,1.144,1.9
,,,1.146,1.9
,,,1.148,1.92
,,,1.15,1.9
,,,1.152,1.92
,,,1.154,1.92
,,,1.156,1.92
,,,1.158,1.92
,,,1.16,1.92
,,,1.162,1.92
,,,1.164,1.92
,,,1.166,1.92
,,,1.168,1.92
,,,1.17,1.92
,,,1.172,1.92
,,,1.174,1.92
,,,1.176,1.92
,,,1.178,1.9
,,,1.18,1.94
,,,1.182,1.9
,,,1.184,1.9
,,,1.186,1.92
,,,1.188,1.92
,,,1.19,1.92
,,,1.192,1.92
,,,1.194,1.92
,,,1.196,1.92
,,,1.198,1.9
,,,1.2,1.9
,,,1.202,1.9
,,,1.204,1.9
,,,1.206,1.92
,,,1.208,1.92
,,,1.21,1.92
,,,1.212,1.92
,,,1.214,1.92
,,,1.216,1.92
,,,1.218,1.92
,,,1.22,1.92
,,,1.222,1.92
,,,1.224,1.92
,,,1.226,1.9
,,,1.228,1.92
,,,1.23,1.9
,,,1.232,1.92
,,,1.234,1.92
,,,1.236,1.92
,,,1.238,1.92
,,,1.24,1.92
,,,1.242,1.94
,,,1.244,1.92
,,,1.246,1.94
,,,1.248,1.92
,,,1.25,1.92
,,,1.252,1.92
,,,1.254,1.92
,,,1.256,1.92
,,,1.258,1.92
,,,1.26,1.92
,,,1.262,1.92
,,,1.264,1.92
,,,1.266,1.92
,,,1.268,1.92
,,,1.27,1.94
,,,1.272,1.92
,,,1.274,1.94
,,,1.276,1.92
,,,1.278,1.92
,,,1.28,1.94
,,,1.282,1.92
,,,1.284,1.92
,,,1.286,1.92
,,,1.288,1.94
,,,1.29,1.94
,,,1.292,1.94
,,,1.294,1.92
,,,1.296,1.92
,,,1.298,1.94
,,,1.3,1.92
,,,1.302,1.94
,,,1.304,1.94
,,,1.306,1.94
,,,1.308,1.94
,,,1.31,1.92
,,,1.312,1.94
,,,1.314,1.92
,,,1.316,1.94
,,,1.318,1.92
,,,1.32,1.94
,,,1.322,1.94
,,,1.324,1.96
,,,1.326,1.94
,,,1.328,1.94
,,,1.33,1.94
,,,1.332,1.94
,,,1.334,1.96
,,,1.336,1.94
,,,1.338,1.94
