  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.671741                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
7.2000e-01   9.3365e-04   7.7117e+02
7.1000e-01   9.2071e-04   7.7115e+02
7.0000e-01   9.0779e-04   7.7110e+02
6.9000e-01   8.9496e-04   7.7099e+02
6.8000e-01   8.8202e-04   7.7095e+02
6.7000e-01   8.6908e-04   7.7093e+02
6.6000e-01   8.5615e-04   7.7089e+02
6.5000e-01   8.4331e-04   7.7077e+02
6.4000e-01   8.3037e-04   7.7074e+02
6.3000e-01   8.1743e-04   7.7071e+02
6.2000e-01   8.0448e-04   7.7068e+02
6.1000e-01   7.9164e-04   7.7056e+02
6.0000e-01   7.7869e-04   7.7053e+02
5.9000e-01   7.6573e-04   7.7051e+02
5.8000e-01   7.5278e-04   7.7048e+02
5.7000e-01   7.3983e-04   7.7045e+02
5.6000e-01   7.2696e-04   7.7033e+02
5.5000e-01   7.1401e-04   7.7030e+02
5.4000e-01   7.0104e-04   7.7028e+02
5.3000e-01   6.8809e-04   7.7024e+02
5.2000e-01   6.7512e-04   7.7024e+02
5.1000e-01   6.6226e-04   7.7010e+02
5.0000e-01   6.4928e-04   7.7009e+02
4.9000e-01   6.3631e-04   7.7006e+02
4.8000e-01   6.2334e-04   7.7005e+02
4.7000e-01   6.1037e-04   7.7003e+02
4.6000e-01   5.9748e-04   7.6990e+02
4.5000e-01   5.8453e-04   7.6985e+02
4.4000e-01   5.7153e-04   7.6986e+02
4.3000e-01   5.5856e-04   7.6984e+02
4.2000e-01   5.4557e-04   7.6984e+02
4.1000e-01   5.3268e-04   7.6969e+02
4.0000e-01   5.1970e-04   7.6968e+02
3.9000e-01   5.0670e-04   7.6968e+02
3.8000e-01   4.9372e-04   7.6967e+02
3.7000e-01   4.8072e-04   7.6968e+02
3.6000e-01   4.6772e-04   7.6969e+02
3.5000e-01   4.5481e-04   7.6956e+02
3.4000e-01   4.4182e-04   7.6955e+02
3.3000e-01   4.2881e-04   7.6957e+02
3.2000e-01   4.1582e-04   7.6957e+02
3.1000e-01   4.0281e-04   7.6959e+02
3.0000e-01   3.8990e-04   7.6942e+02
2.9000e-01   3.7688e-04   7.6948e+02
2.8000e-01   3.6387e-04   7.6951e+02
2.7000e-01   3.5085e-04   7.6956e+02
2.6000e-01   3.3793e-04   7.6939e+02
2.5000e-01   3.2491e-04   7.6943e+02
2.4000e-01   3.1190e-04   7.6949e+02
2.3000e-01   2.9897e-04   7.6930e+02
2.2000e-01   2.8595e-04   7.6936e+02
2.1000e-01   2.7293e-04   7.6943e+02
2.0000e-01   2.5991e-04   7.6951e+02
1.9000e-01   2.4698e-04   7.6930e+02
1.8000e-01   2.3396e-04   7.6937e+02
1.7000e-01   2.2093e-04   7.6946e+02
1.6000e-01   2.0791e-04   7.6955e+02
1.5000e-01   1.9499e-04   7.6927e+02
1.4000e-01   1.8198e-04   7.6933e+02
1.3000e-01   1.6896e-04   7.6944e+02
1.2000e-01   1.5592e-04   7.6962e+02
1.1000e-01   1.4301e-04   7.6920e+02
1.0000e-01   1.2997e-04   7.6940e+02
9.0000e-02   1.1695e-04   7.6955e+02
8.0000e-02   1.0392e-04   7.6985e+02
7.0000e-02   9.1112e-05   7.6828e+02
6.0000e-02   7.8076e-05   7.6848e+02
5.0000e-02   6.5055e-05   7.6858e+02
4.0000e-02   5.2121e-05   7.6744e+02
3.0000e-02   3.9100e-05   7.6726e+02
2.0000e-02   2.6072e-05   7.6711e+02
1.0000e-02   1.3049e-05   7.6637e+02
0.0000e+00   1.1500e-07   0.0000e+00
